龙舟（打一歌曲名)	中国船
车谱（打一歌曲名)	四季歌
车上有只老虎 ,猜一个字 	递 
身长约一丈，鼻生头顶上。背黑肚皮白，安家在海洋。（打一动物名	海豚
身轻如燕（打《水浒传》人物绰号一)	鼓上蚤
身穿绿衣裳，肩扛两把刀。庄稼地里走，害虫吓得跑。（打一动物名	螳螂
身穿绿色衫，头戴五花冠。喝的清香酒，唱如李翠莲。（打一动物名	蝈蝈
身穿红衣裳，常年把哨放，遇到紧急事，敢往火里闯。（打一日常用品	灭火器
身小力不小，团结又勤劳。有时搬粮食，有时挖地道。（打一动物名	蚂蚁
身子轻如燕，飞在天地间。不怕相隔远，也能把话传。（打一动物名	信鸽
身为王储哪得穷（打《滕王阁序》一句）	君子安贫
身上滑腻腻，喜欢钻河底。张嘴吐泡泡，可以测天气。（打一动物名	泥鳅
踏花归来蝶绕膝（打一中草药名)	香附
超级骗子之言（打香港一地名）	大坑道
超级好牙刷（打一成语）	一毛不拔
起死回生,猜一个字 	苏
起死回生,猜一个字 	苏 
起宏图（打一中草药名)	远志
赫赫小英雄（打《水浒传》人名一)	童威
赤兔（打一字)	驰
赛跑冠军 ,猜一个字 	道 
贵在廉洁（打黑龙江一地名）	宝清
财源茂盛达三江（打广西一地名）	富川
贝字减两点 , 不作目字猜,猜一个字 	资 
谢绝参观（打一字）	企
谈笑风生（打一文学名词)	即兴诗
请十二时准时入席,猜一字 	许 
请勿过虑（打《孟子》一句）	求其放心而已矣
说马不像马，路上没有它。若用它做药，要到海中抓。（打一动物名	海马
说话的技术（打一字）	团
许仙（打一电视剧名)	蛇郎
讲鬼,猜一字 	魂 
讲故事（打一中草药名)	向前
讲师钟点费,猜一字 	读 
计划承包田（打《孙子兵法》一句）	围地而谋
詈冤家,言去难留   	四
视而不见,猜一个字 	示 
观不见鸟飞来,猜一个字 	鹳
观不见鸟飞来,猜一个字 	鹳 
见先进就学（打《孙子兵法》一句）	良将随之
见人就笑,猜一字 	竺 
见人就笑          	竺
西施（打一字）	俪
西安相聚之日（打一字）	晒
裹脚,猜一个字 	跑 
衔泥筑新居（打《红楼梦》人名一)	春燕
行千里路,猜一字 	冲 
血盆（打一字）	唬
蜜饯黄连（打一成语）	同甘共苦
蜜罐城（打宁夏一地名）	甜水堡
虫入凤巢飞去鸟,猜一字 	风 
虚有其表要不得（打一中草药名)	云实
虚心话（打一文学名词)	七言
董卓鸩酒杀少帝（打《史记》一句）	以臣弑君
落英缤纷（打一中草药名)	降香
落花人独立 , 微雨燕双飞,猜一个字 	俩 
落红有主（打辽宁一地名）	丹东
营业员标兵（打《红楼梦》人名一)	贾范
菊花分外香（打《红楼梦》人名一)	秋芳
莫让年华付水流（打一中草药名)	青春宝
莫中美人计（打《论语》一句）	戒之在色
草色遥看近却无（打《红楼梦》人名一)	碧痕
草木之中有个人 ,猜一个字 	茶 
草上飞,猜一字 	早 
苗头不对,猜一字 	笛 
花和尚鲁智深（打四川一地名）	色达
芙蓉帐暖度春宵（打新疆一地名）	温宿
艳阳天却听雷声（打贵州一地名）	晴隆
艳冠群芳（打《水浒传》人名一)	王英
船板硬，船面高。四把桨，慢慢摇。（打一动物名	乌龟
航道（打一字）	潞
舌头没有,猜一个字 	古 
自言自语,猜一字 	记 
自有一日出头天,猜一字 	春 
自己话,猜一个字 	语 
自大加一点,猜一个字 	臭 
腿长胳膊短，眉毛遮住眼。没人不吭声，有人它乱窜。（打一动物名	蚂蚱
脱缰（打一运动项目名)	马拉松
脱粒机（打一成语）	吞吞吐吐
脚着暖底靴，口边出胡须。夜里当巡捕，日里把眼眯。（打一动物名	猫
脚儿小，腿儿高。戴红帽，穿白袍。（打一动物名	丹顶鹤
胜境（打一成语）	不败之地
背脸（打一成语）	其貌不扬
背板过海，满腹文章。从无偷窃行为，为何贼名远扬？（打一动物名	乌贼
胆大的耗子（打《水浒传》人物绰号一)	白日鼠
肥腿子，尖鼻子。穿裙子，背屋子。（打一动物名	鳖
肤浅之谈（打一中草药名)	陈皮
聚气守精（打宁夏一地名）	固原
耸人听闻,猜一字 	诡 
耳朵长，尾巴短。只吃菜，不吃饭。（打一动物名	兔子
者（打一成语）	有目共睹
老谋深算（打一中草药名)	苍术
老蚌生珠（打一中草药名)	附子
老板,猜一字 	住 
老式波音（打一歌曲名)	涛声依旧
老少多病（打宁夏一地名）	中宁
翘翘板（打一成语）	此起彼伏
羚羊散（打一字)	令
美梦（打一成语）	好景不长
美国小姐,猜一个字 	要 
美哉嘉陵（打云南一地名）	丽江
美人锁铜雀（打山东一地名）	鱼台
缺钱啦,猜一个字 	钦 
绿色长城（打一中草药名)	防风
绿林好汉（打一中草药名)	草蔻
绿化北京（打《水浒传》人名一)	燕青
绞刑架下的报告（打一文学名词)	悬念
给爷爷让座位（打天津一地名）	小站
给爷爷让座（打《水浒传》人名一)	孙立
给家捎个话（打一成语）	言而无信
结实累累 ,猜一个字 	夥 
结合本人（打《前出师表》一句）	俱为一体
绊脚石（打一字）	跖
终日琴堂醉未醒（打一词牌名)	如梦令
终年滴水（打一中草药名)	石见穿
纸老虎（打一成语）	外强中干
红袋子（打一中草药名)	赤包
红色为上（打《水浒传》人名一)	朱贵
红杏出墙（打湖南一地名）	花垣
红娘子，上高楼。心里疼，眼泪流。 （打一日常用品	蜡烛
红十字会（打一中草药名)	九一丹
繁荣的北京（打西藏一地名）	昌都
粽子脸，梅花脚。前面喊叫，后面舞刀。（打一动物名	狗
粮食（打一字）	稞
算命先生,猜一字 	仆 
第四季度经费（打一中草药名)	款冬花
第二次握手（打一字）	观
第一人称（打一歌曲名)	那就是我
笔走龙蛇（打一中药名)	通草
笑死人（打一成语）	乐极生悲
笑得前仰后合（打《水浒传》人物绰号一)	没面目
竹林诸贤堪赞颂（打一歌曲名)	七子之歌
竹林矛舍农家地,春耕缺水无心惜,猜一个字 	籍 
端午在眉睫（打一成语)	马首是瞻
章句不佳（打《三国演义》人名一)	文丑
站着百分高，躺着十寸长。裁衣做数学，它会帮你忙。（打一日常用品	尺
立足于走（打《水浒传》人物绰号一)	行者
窗前江水泛春色（打一中草药名)	空青
穿着大红袍，头戴铁甲帽。叫叫我阿公，捉捉我不牢。（打一动物名	蜈蚣
穿林而过（打一中草药名)	木通
空山之中一亩田           	画
空对空导弹（打一成语）	见机行事
空付一书扎（打江苏一地名）	高邮
空中霹雳（打《水浒传》人名一)	凌震
稻（打一字）	类
稀世珍宝（打一中草药名)	金不换
秘密部队（打《水浒传》人物绰号一)	神机军师
科举制度（打《前出师表》一句）	试用于昔日
禾薪入门（打《水浒传》人名一)	柴进
离别正堪悲（打一歌曲名)	欢聚
离别(分手),猜一字 	扮 
禁止调房（打《水浒传》人名一)	杜迁
祸及子孙（打《孙子兵法》一句）	不能善其后
票（打一成语）	闻风而起
神农架（打一字）	枢
神不在焉（打福建一地名）	仙游
祝福（打一字）	诘
社会在发展（打《水浒传》人名一)	史进
礼聘千万两,猜一字 	钟 
礼义廉耻,猜一个字 	罗
礼义廉耻,猜一个字 	罗(由「四维」得知) 
破门而入（打《孙子兵法》一句）	进而不可御者
石榴成熟（打一成语）	皮开肉绽
矮（打一字）	射
瞎子,猜一字 	盲 
眼看田上长青草,猜一字 	瞄 
眼看田上长青草,猜一个字 	瞄 
真情指数,猜一个字 	皓(告白) 
真心相伴,猜一字 	慎 
真丢人,猜一字 	直 
相声（打一成语）	装腔作势
盲人摸象（打一成语）	不识大体
目字加两点,别做贝字猜,猜一字 	贺 
目（打一字）	置
皮白腰儿细，会爬又会飞。木头当粮食，专把房屋毁。（打一动物名	白蚁
皇帝之袍          	袭
皇后在京坐正宫（打海南一地名）	琼中
皇（打一成语）	白玉无瑕
皂白何须问;       	七
百无一是（打一字）	白
百年前是草,百年后是木,猜一个字 	叶
百年前是草,百年后是木,猜一个字 	叶 
百岁老人（打一中草药名)	白头翁
百万雄兵卷白旗,天下无人去征西,秦王杀了余元帅,骂完一阵把马骑 ,猜四个字 	一二三四 
白娘子与小青（打《水浒传》人物绰号一)	两头蛇
白头谐老,猜一字 	舌 
白天一起玩，夜间一块眠。到老不分散，人夸好姻缘。（打一动物名	鸳鸯
登泰山而小天下（打《三国演义》人名一)	高览
痴（打一字）	保
留取丹心照汗青（打《史记》一句）	烈士润名
畅行无阻（打一中草药名)	路路通
画前画后费心思（打一字）	田
画前画后费心思           	田
画中人（打一字）	佃
男尊女卑（打《孙子兵法》一句）	贵阳而贱阴
男宾止步,猜一个字 	妪 
男女同眠,猜一个字 	好 
男士手携情人,猜一字 	接 
电锯开木头（打一成语）	当机立断
电梯（打一成语）	能上能下
甲子（打一电视剧名)	两个第一
甲乙丙丁戊己庚辛壬癸,猜一字 	旱 
田里雨后长青草,猜一个字 	蕾 
田心一片磁针石（打贵州一地名）	思南
田中,猜一字 	十 
田（打一成语）	挖空心思
用钱买官作（打《孙子兵法》一句）	因利而制权也
生的是一碗，煮熟是一碗。不吃是一碗，吃了也一碗。（打一动物名	田螺
生来青又黄，好比水一样。把它倒水里，它能浮水上。（打一日常用品	油
生在鸡家湾，嫁到竹家滩。向来爱干净，常逛灰家山。（打一日常用品	鸡毛掸子
生在山崖，落在人家。凉水浇背，千刀万剐。（打一日常用品	磨刀石
瓜熟蒂落。  	爪
瑞士（打一字）	佶
班超不作抄书吏（打《滕王阁序》一句）	有怀投笔
珍珠如土金如铁（打河南一地名）	宝丰
现代作品（打一新兴词语)	非典
玩儿房（打一歌曲名)	游戏人间
王昭君仰首看斜月,云天吊亡魂,猜一个字 	望 
王小明耳朵很大 今年十四岁 读一心国小 ,猜一个字 	听 
王小明耳朵很大 今年十四岁 读一心国小 	听 
王先生白小姐坐在石头上 ,猜一个字 	碧 
猫狗像什么（打一成语）	如狼似虎
猪年进宝（打一字)	赅
猪年献词（打一字)	该
猪八戒照镜子（打一中药名)	二丑
猜酒拳,猜一字 	批 
猜谜更使人生慧（打一中草药名)	益智
猛将百余人，无事不出城。出城就放火，引火自烧身。（打一日常用品	火柴
独眼龙,猜一字 	省 
独留花下人,有情却无心,猜一字 	倩 
独留花下人，有情却无心   	倩
独在异乡为异客（打《孙子兵法》一句）	亲而离之
狗脾气（打一字)	狄
狗王 ,猜一个字 	狂 
狗洞,猜一字 	突 
爿（打一字）	版
爸爸的耶诞节 ,猜一个字 	爷 
父故兄为长（打《红楼梦》人名一)	赖大
爱好旅游（打一成语）	喜出望外
爱兵如子（打《前出师表》一句）	将军向宠
爬竹竿（打一成语）	节节上升
熙熙攘攘（打一字）	侈
照相底片（打一成语）	颠倒黑白
热处理（打一字）	煺
烨（打一新兴词语)	中国热
烟缸（打一字）	盔
烟火灭后心安宁（打广东一地名）	恩平
点点是黄金,猜一个字 	全 
点点成金,猜一个字 	全 
炭（打一字）	樵
炉边火尽，须将意马牢拴           	驴
灰（打一字）	尘
火阑化贝 ,猜二个字 	烂货 
火烬炉冷平添意马心猿,猜一个字 	驴 
澄江浑如练（打《水浒传》人物绰号一)	浪里白条
潘仁美卖国（打内蒙古一地名）	通辽
漩涡里的歌（打西藏一地名）	曲水
演员谢幕时（打《红楼梦》人名一)	终了
满盘棋（打一中草药名)	无漏子
滔滔不绝（打一中草药名)	长流水
湖光水影接秋色（打一中草药名)	胡黄连
湖中倒影水纵横（打广东一地名）	潮州
渐渐安定（打《水浒传》人名一)	徐宁
清浊合流（打一成语）	泾渭不分
添丁进口,猜一字 	可 
海空优势（打《三国演义》人名一)	陆逊
海棠春睡（打一中草药名)	安息香
海上一只鸟，跟着船儿跑。冲浪去抓鱼，不怕大风暴。（打一动物名	海鸥
济人急难（打《水浒传》人名一)	施恩
测鼠（打一词牌名)	卜算子
流芳后世（打《三国演义》人名一)	孙尚香
流眼泪对流眼泪,猜一字 	器 
洪湖歌声融暮色（打《滕王阁序》一句）	渔舟唱晚
洞裏会郎君 ,猜一个字 	窥
洞裏会郎君 ,猜一个字 	窥 
洋婆子,猜一个字 	要 
泾渭不分（打吉林一地名）	浑江
泵（打一成语）	水落石出
注重生男,猜一字 	婢 
泥峰（打一字）	击
沫若乡间住处（打北京一地名）	郭公庄
没有哥哥,猜一字 	歌 
没关水龙头（打一成语）	放任自流
沟里走，沟里串。背了针，忘了线。（打一动物名	刺猬
沙漠一只船，船上载大山。远看像笔架，近看一身毡。（打一动物名	骆驼
池里不见水,地上不见泥,猜一个字 	也 
池塘亮底（打一字）	汗
江边点起两盏灯火,猜一个字 	淡 
江西如今变了样（打一字）	冷
汕头一周游（打一歌曲名)	山不转水转
汉朝文书（打《三国演义》人名一)	刘表
水映横山落残红（打一字）	绿
水库（打一字）	沧
水上工程,猜一个字 	汞 
氙氚（打一成语）	气吞山河
残局飘零满地金（打《三国演义》人名一)	黄盖
死而轻于鸿毛（打《史记》一句）	卒为天下笑
死对头,猜一字 	生 
武断（打一成语）	不容分说
武大郎设宴（打一成语）	高朋满座
武（打一字）	斐
此谜已破（打《水浒传》人物绰号一)	中箭虎
此日意无穷（打浙江一地名）	富阳
此客来意不善,猜一个字 	殡 
此字八横又八直,若问孔子也不知,猜一字 	哑 
此字不难猜,而且不分开,请问是那一个字 	面 
此字不难猜，而且不分开   	面
此字不难猜,孔子猜三天,请问是何字也 猜一个字 	晶(三天=三日) 
此字不奇怪,芬芳又自在,七人头上草,大家都喜爱,猜一个字 	花 
此字不凡仅四笔,无横无直无钩曲,皇帝见了要起身,圣人见了要施礼 ,猜一个字 	父 
此地景色佳,依山傍水真迷人,猜一个字 	汕 
正者日也（打湖北一地名）	当阳
正月无初一,猜一字 	肯 
正字少一横,不作止字猜,猜一个字 	步 
欲话无言听流水,猜一字 	活 
欲言又止,猜一个字 	认 
欲罢不能,猜一字 	四 
欧洲敬献皇帝之物（打香港一地名）	西贡
欧洲妇人,猜一个字 	要 
欧洲人,猜一个字 	伯 
樱桃小嘴,猜一个字 	如 
樱桃嘴,猜一字 	
横算直算,二四得八,猜一字 	买 
楼台接楼台，层层叠起来。上面飘白雾，下面水花开。（打一日常用品	蒸笼
楚霸王乌江自刎,猜一字 	翠 
楚剧选段（打黑龙江一地名）	林口
森林大火,猜一字 	焚 
梨桔柚各有其美（打《前出师表》一句）	此皆良实
梅须自逊三分白（打一中草药名)	雪里开
桃花满径日日开（打一电影名)	马路天使
桃李杏梅菊含笑（打广东一地名）	五华
桁（打一成语）	行将就木
根治黄河（打福建一地名）	清流
树旁站著两个人 ,猜一个字 	来 
树叶落尽（打江西一地名）	余干
柴门闻犬吠（打一字）	润
柳毅传书结连理（打《滕王阁序》一句）	喜托龙门
柳暗花明又一村（打河南一地名）	新乡
枫树无风,旁边有位老公,猜一个字 	松 
枪弹上膛（打一成语）	一触即发
林务大臣,猜一字 	棺 
极小（打一成语）	微乎其微
板（打一成语）	残茶剩饭
来者不善,猜一个字 	殡 
来日芬芳。               	禾
杜鹃啼血（打一中草药名)	红花
李时珍所著（打一字）	苯
李字少了木,不作子字猜,猜一字 	一 
未及格（打一字)	咩
木材遭水劫（打《水浒传》人名一)	林冲
木字多一撇 ,猜一个字 	(a)移; (b)朱 
木乃伊（打《史记》一句）	终不能化
望江亭（打一成语）	近水楼台
朔方有石无土培（打重庆一地名）	北碚
朋友半边不见了,猜一字 	月 
有轿不坐,有马不骑,今天二十九,明日初一,猜一个字 	赵 
有赚无赚饮淡薄（打《前出师表》一句）	至于斟酌损益
有话大家讲,猜一字 	讼 
有硬有软，有长有宽。白天空闲，夜晚上班。（打一日常用品	床
有目共睹 ,猜一个字 	者 
有手怀抱里,有脚想溜掉,有火点就跑 ,猜一个字 	包 
有手怀抱里,有脚想溜掉,有火点就跑 	包 
有心得志,猜一个字 	士
有心得志,猜一个字 	士 
有头没有尾，有角又有嘴。扭动它的角，嘴里直淌水。（打一日常用品	水龙头
有口亦难分诉,猜一字 	亚 
有位小姑娘，身穿黄衣裳。谁要欺负她，她就戳一枪。（打一动物名	黄蜂
有人无人都是你           	尔
有两个动物,一个在水里,一个在山上 ,猜一个字 	鲜 
有两个动物,一个在水里,一个在山上 	鲜
有上交,无下交;    	六
有一点不准（打一字）	淮
月光照进门,猜一个字 	闲 
暗中下围棋（打一成语）	皂白不分
智者千虑，必有一失（打《孙子兵法》一句）	得算多也
智力考核（打《孙子兵法》一句）	校之以计
晚会（打一字）	多
晓以大义（打福建一地名）	德化
显微镜（打一成语）	一孔之见
昨日不可留,猜一字 	乍 
春雨绵绵妻独睡 ,猜一个字 	一 
春草碧如丝（打《红楼梦》人名一)	翠缕
春秋配,猜一字 	秦 
春游芳草地（打一中草药名)	步步清
春水纵横送我还（打广西一地名）	梧州
春末夏初（打一字）	旦
春前秋后正寒时（打一中草药名)	天冬
春光临渡口（打山东一地名）	夏津
星星之歌,猜一字 	农 
易之而教之（打《孟子》一句）	迭为宾主
明知故问（打《前出师表》一句）	悉以咨之
明月下更惹人怜,猜四个字 	十月十日 
时已立秋（打《三国演义》人名一)	伏完
旱天雷（打一字）	田
旭日东升,猜一字 	九 
旭日不出,猜一个字 	九 
早不说晚不说（打一字）	午
早上（打一字）	日
日飞落树上，夜晚到庙堂。不要看我小，有心肺肝肠。（打一动物名	麻雀
日长月短左右战,一正一反两边排 ,猜一个字 	门 
日迈长安远（打一字）	宴
日落香残,洗凡心一点,猜一字 	秃 
日落香残，扫去凡心一点           	秃
日落相残洗却凡心一点,猜一个字 	秃 
日落半林中,猜一字 	东 
日照清流涌（打山西一地名）	阳泉
日照幽篁笼古刹（打广西一地名）	天等
日月一齐来（打一字）	胆
日复一日,猜一字 	昌 
日加直,不加点,猜一字 	神 
日（打一字）	畔
无风荷叶动,猜一字 	衡 
无限心头语,尽在情丝中,猜一字 	恋 
无脚也无手，身穿鸡皮皱。谁若碰着它，吓得连忙走。（打一动物名	蛇
无心的爱,猜一字 	受 
无底洞（打一成语）	深不可测
无头无尾一亩田 .,猜一个字 	鱼 
无可奈何花落去（打一常用词)	感谢
无丝竹之乱耳（打浙江一地名）	乐清
无一知其义也（打浙江一地名）	文成
旅行坐飞机,猜一字 	辈 
方言 ,猜一个字 	响 
方法论（打一中草药名)	白术
新苗茁壮（打一新兴词语)	小康
新竹,猜一字 	笋 
新媳妇探亲（打一歌曲名)	回娘家
斯已而已矣（打《孟子》一句）	可以止则止
断桥会许仙（打《水浒传》人物绰号一)	白面郎君
斩草不除根,猜一字 	早 
斩草不除根               	早
斑斓大虫（打《水浒传》人物绰号一)	锦毛虎
文起八代之衰（打《三国演义》人名一)	韩当
文武合一,猜一字 	斌 
文武两全,猜一字 	斌 
敲山震虎（打一中草药名)	驱风散
数说湖南掌故（打《红楼梦》人名一)	史湘云
故（打《史记》一句）	不离古文者近者
支出两分（打陕西一地名）	岐山
播种（打一动物名	布谷
接吻,猜一个字 	吕 
掌门人,猜一字 	们 
掌握自然规律（打《水浒传》人物绰号一)	摸着天
掌声经久不息（打北京一地名）	延庆
挥手告别,猜一个字 	军 
拿不出手,猜一字 	合 
拱手让人,猜一字 	共 
拨开云雾现红轮（打广东一地名）	揭阳
拦水坝（打一中草药名)	川断
抽水泵（打一字）	石
抵达分水处（打山西一地名）	临汾
抱千金而长叹（打《前出师表》一句）	可计日而待也
投身改革获褒奖（打台湾一地名）	彰化
把白米分给别人 ,猜一个字 	粉 
扰（打一成语）	半推半就
打边鼓（打一成语）	旁敲侧击
打断念头,猜一字 	心 
打开门有客来先脱帽再脱衣 ,猜一个字 	阁 
才超北斗（打《水浒传》人物绰号一)	智多星
才不明主弃（打《前出师表》一句）	亲贤臣
手无寸铁,猜一字 	控 
手提包,猜一个字 	抱 
手不释卷,猜一字 	卷 
所来全不费工夫（打《孙子兵法》一句）	不求而得
战太平（打江西一地名）	武宁
我自岿然不动（打《孙子兵法》一句）	守则有余
我的心,猜一个字 	悟 
我独不得出（打一字）	圄
我没有他有,天没有地有,猜一字 	也 
我欲乘风归去（打《三国演义》人名一)	苏飞
我丈夫也,猜一字 	余 
感冒通（打一成语）	有伤风化
愚公之家（打一成语）	开门见山
惩恶扬善（打云南一地名）	宜良
情投意合（打宁夏一地名）	同心
悔教夫婿觅封侯，只因陌头忽有见（打天津一地名）	杨柳青
悔当初,吾错失口   	五
恍然大悟（打一中草药名)	脑立清
总有一天出头日,猜一字 	春 
总是玉关情（打一字）	国
思想波动（打一文学名词)	意识流
思（打一字）	十
快快松绑（打一中草药名)	急解索
快刀斩乱麻（打一成语）	迎刃而解
忠诚老实（打一中草药名)	厚朴
忘（打一成语）	死心塌地
心如刀刺,猜一字 	必 
徒弟,猜一字 	们 
待到重阳日,猜一字 	晶 
彩调剧（打一成语）	声色俱厉
弹丸之地（打一字）	尘
弄瓦之徵 ,猜一个字 	姚 
弄瓦之喜 ,猜一个字 	姓 
弄璋之喜,猜一字 	甥 
异口同声（打一字）	谐
开门日正中（打一字）	间
建国方略,猜一字 	或 
庙建成菩萨到（打上海一地名）	新寺
店主站柜台（打山东一地名）	东营
应声而出（打《水浒传》人名一)	闻达
床前明月光（打一字）	旷
广厦千万间（打《孟子》一句）	大哉居乎
并非独生子（打《红楼梦》人名一)	丰儿
并重（打一成语）	恰如其分
年少无知（打湖北一地名）	大悟
平蛮十八洞（打《前出师表》一句）	今南方已定
平等待客（打一文学名词)	主人公
平日不思，中秋想你。有方有圆，又甜又蜜。（打一日常用品	月饼
平原门下客三千（打《滕王阁序》一句）	胜友如云
干涉（打一字）	步
席地谈天（打《孟子》一句）	位卑而言高
帝子乘风下翠微（打《滕王阁序》一句）	上出重霄
巨（打一字）	奕
左有十八,右有十八,二四得八,一八得八,猜一个字 	樊 
左有十八,右有十八,二四得八,一八得八 	樊 
左手五个，右手五个。拿去十个，还剩十个。（打一日常用品	手套
工（打《史记》一句）	用力曰功
峨嵋第一峰（打一中草药名)	川山甲
岸（打一字）	滂
岳父大人,猜一字 	仗 
岭上开花（打一中草药名)	山香
岩纹美丽（打《水浒传》人名一)	石秀
山花红烂漫（打内蒙古一地名）	赤峰
山水之间，一方独立（打重庆一地名）	涪陵
山外青山楼外楼（打《滕王阁序》一句）	层峦耸翠
山呼万岁（打河北一地名）	赞皇
山上复又山,猜一个字 	出,岳 
屡试屡成（打一动物名	百灵
